Old IRI	New ID	Label	Term Type
http://purl.obolibrary.org/obo/obi.owl#Class_002	http://purl.obolibrary.org/obo/OBI_0001629	grant identifier	Class
http://purl.obolibrary.org/obo/obi.owl#1	http://purl.obolibrary.org/obo/OBI_0001630	analytical chromatography	Class
http://purl.obolibrary.org/obo/obi.owl#2	http://purl.obolibrary.org/obo/OBI_0001631	electron microscopy imaging	Class
http://purl.obolibrary.org/obo/obi.owl#3	http://purl.obolibrary.org/obo/OBI_0001632	immuno staining assay	Class
http://purl.obolibrary.org/obo/obi.owl#4	http://purl.obolibrary.org/obo/OBI_0001633	purified material	Class
http://purl.obolibrary.org/obo/obi.owl#5	http://purl.obolibrary.org/obo/OBI_0001634	calorimetric assay	Class
http://purl.obolibrary.org/obo/obi.owl#6	http://purl.obolibrary.org/obo/OBI_0001635	antibody binding detection by fluorescence quenching	Class
http://purl.obolibrary.org/obo/obi.owl#Class_001	http://purl.obolibrary.org/obo/OBI_0001636	grant	Class
http://purl.obolibrary.org/obo/obi.owl#7	http://purl.obolibrary.org/obo/OBI_0001637	has disposition to bind	ObjectProperty
