Old IRI	New ID	Label	Term Type
http://purl.obolibrary.org/obo/obi.owl#Class_002	http://purl.obolibrary.org/obo/OBI_0001615	investigation description	Class
http://purl.obolibrary.org/obo/obi.owl#Class_011	http://purl.obolibrary.org/obo/OBI_0001619	specimen creation time measurement datum	Class
http://purl.obolibrary.org/obo/obi.owl#Class_003	http://purl.obolibrary.org/obo/OBI_0001628	investigation identifier	Class
http://purl.obolibrary.org/obo/obi.owl#Class_012	http://purl.obolibrary.org/obo/OBI_0001623	organism identification objective	Class
http://purl.obolibrary.org/obo/obi.owl#1	http://purl.obolibrary.org/obo/OBI_0001514	minimal inhibitory concentration	Class
http://purl.obolibrary.org/obo/obi.owl#Class_004	http://purl.obolibrary.org/obo/OBI_0001617	PubMed ID	Class
http://purl.obolibrary.org/obo/obi.owl#Class_005	http://purl.obolibrary.org/obo/OBI_0001614	GenBank ID	Class
http://purl.obolibrary.org/obo/obi.owl#Class_010	http://purl.obolibrary.org/obo/OBI_0001616	specimen identifier	Class
http://purl.obolibrary.org/obo/obi.owl#Class_015	http://purl.obolibrary.org/obo/OBI_0001625	sequence annotation algorithm	Class
http://purl.obolibrary.org/obo/obi.owl#Class_016	http://purl.obolibrary.org/obo/OBI_0001618	average depth of sequence coverage	Class
http://purl.obolibrary.org/obo/obi.owl#Class_013	http://purl.obolibrary.org/obo/OBI_0001624	organism identification assay	Class
http://purl.obolibrary.org/obo/obi.owl#Class_014	http://purl.obolibrary.org/obo/OBI_0001522	sequence assembly algorithm	Class
http://purl.obolibrary.org/obo/obi.owl#Class_001	http://purl.obolibrary.org/obo/OBI_0001622	investigation title	Class
http://purl.obolibrary.org/obo/obi.owl#Class_006	http://purl.obolibrary.org/obo/OBI_0001627	country name	Class
http://purl.obolibrary.org/obo/obi.owl#Class_007	http://purl.obolibrary.org/obo/OBI_0001626	Bioinformatics Resource Center	Class
http://purl.obolibrary.org/obo/obi.owl#Class_008	http://purl.obolibrary.org/obo/OBI_0001620	latitude coordinate measurement datum	Class
http://purl.obolibrary.org/obo/obi.owl#Class_009	http://purl.obolibrary.org/obo/OBI_0001621	longitude coordinate measurement datum	Class
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
