Old IRI	New ID	Label	Term Type
http://purl.obolibrary.org/obo/obi/multiplex_ligation-mediated_amplification	http://purl.obolibrary.org/obo/OBI_0001914	multiplex ligation-mediated amplification	Class
http://purl.obolibrary.org/obo/obi/DNA_replication_timing_by_array_assay	http://purl.obolibrary.org/obo/OBI_0001915	DNA replication timing by array assay	Class
http://purl.obolibrary.org/obo/obi/DNA_replication_identification_objective	http://purl.obolibrary.org/obo/OBI_0001916	DNA replication identification objective	Class
http://purl.obolibrary.org/obo/obi/chromosome_conformation_identification_objective	http://purl.obolibrary.org/obo/OBI_0001917	chromosome conformation identification objective	Class
http://purl.obolibrary.org/obo/obi/RNA-binding_protein_immunoprecipitation_array_profiling_assay	http://purl.obolibrary.org/obo/OBI_0001918	RNA-binding protein immunoprecipitation array profiling assay	Class
http://purl.obolibrary.org/obo/obi/Carbon-copy_chromosome_conformation_capture_assay	http://purl.obolibrary.org/obo/OBI_0001919	Carbon-copy chromosome conformation capture assay	Class
http://purl.obolibrary.org/obo/obi/DNA_replication_timing_by_sequencing_assay	http://purl.obolibrary.org/obo/OBI_0001920	DNA replication timing by sequencing assay	Class
