Old IRI	New ID	Label	Term Type
http://purl.obolibrary.org/obo/obi.owl#pcr_primer	http://purl.obolibrary.org/obo/OBI_0001946	pcr forward primer	Class
http://purl.obolibrary.org/obo/obi.owl#BCGO_0000023	http://purl.obolibrary.org/obo/OBI_0001947	sequence annotation provider	Class
http://purl.obolibrary.org/obo/obi.owl#BCGO_0000024	http://purl.obolibrary.org/obo/OBI_0001948	sequence assembly name	Class
http://purl.obolibrary.org/obo/obi.owl#BCGO_0000022	http://purl.obolibrary.org/obo/OBI_0001949	sequence annotation reporting role	Class
http://purl.obolibrary.org/obo/obi.owl#has_performer	http://purl.obolibrary.org/obo/OBI_0001950	has performer	ObjectProperty
http://purl.obolibrary.org/obo/obi.owl#pcr_reverse_primer	http://purl.obolibrary.org/obo/OBI_0001951	pcr reverse primer	Class
