Old IRI	New ID	Label	Term Type
http://purl.obolibrary.org/obo/obi.owl#Ion_316_Chip_v2	http://purl.obolibrary.org/obo/OBI_0001971	Ion 316 Chip v2	Class
http://purl.obolibrary.org/obo/obi.owl#Ion_318_Chip_v2	http://purl.obolibrary.org/obo/OBI_0001972	Ion 318 Chip v2	Class
http://purl.obolibrary.org/obo/obi.owl#ion_semiconductor_chip	http://purl.obolibrary.org/obo/OBI_0001973	ion semiconductor chip	Class
http://purl.obolibrary.org/obo/obi.owl#Ion_314_Chip_v2	http://purl.obolibrary.org/obo/OBI_0001974	Ion 314 Chip v2	Class
