Old IRI	New ID	Label	Term Type
http://purl.obolibrary.org/obo/obi#primary_cell_culture	http://purl.obolibrary.org/obo/OBI_0001910	primary cell culture	Class
http://purl.obolibrary.org/obo/obi#cell_line_culture	http://purl.obolibrary.org/obo/OBI_0001911	cell line culture	Class
http://purl.obolibrary.org/obo/obi#cell_freezing_medium	http://purl.obolibrary.org/obo/OBI_0001912	cell freezing medium	Class
http://purl.obolibrary.org/obo/obi#cell_population	http://purl.obolibrary.org/obo/OBI_0001913	obsolete_cell population	Class
