New ID	Label	Term Type
http://purl.obolibrary.org/obo/OBI_0001921	RNA-binding protein immunoprecipitation tiling array profiling	Class
http://purl.obolibrary.org/obo/OBI_0001922	microRNA profiling by high throughput sequencing assay	Class
http://purl.obolibrary.org/obo/OBI_0001923	protein sequencing by tandem mass spectrometry assay	Class
http://purl.obolibrary.org/obo/OBI_0001924	micrococcal nuclease digestion followed by high throughput sequencing assay	Class
http://purl.obolibrary.org/obo/OBI_0001925	chromatin immunoprecipitation with exonuclease sequencing assay	Class
http://purl.obolibrary.org/obo/OBI_0001926	microRNA profiling assay	Class
		
IDs were assigned by Ontorat		
